contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry
TSLA251114C00275000,2025-11-07 19:47:45+00:00,275.0,162.02,152.45,156.6,-17.580002,-9.78842,11.0,50,1.0312548437500002,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00280000,2025-11-07 18:48:15+00:00,280.0,150.79,148.15,151.65,-15.680008,-9.419119,20.0,103,1.5478538232421872,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00285000,2025-11-07 19:51:34+00:00,285.0,151.7,143.05,147.4,-14.5,-8.724429,8.0,12,1.6386736816406249,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00290000,2025-11-07 19:03:28+00:00,290.0,142.76,137.5,141.65,-15.970001,-10.061111,5.0,63,1.1367230664062502,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00295000,2025-11-07 20:48:26+00:00,295.0,133.41,132.5,137.35,-21.050003,-13.628125,30.0,22,1.3925811621093749,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00300000,2025-11-07 20:54:27+00:00,300.0,130.82,127.5,131.7,-14.409988,-9.922185,46.0,127,1.087895185546875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00305000,2025-11-07 20:14:37+00:00,305.0,131.75,122.5,127.35,-10.0,-7.0546737,25.0,78,1.2832067089843748,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00310000,2025-11-07 20:30:38+00:00,310.0,122.57,117.55,122.0,-16.769997,-12.035307,56.0,155,1.150394873046875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00315000,2025-11-07 20:40:59+00:00,315.0,114.92,113.5,117.4,-20.680008,-15.250742,40.0,50,1.351077463378906,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00320000,2025-11-07 19:08:35+00:00,320.0,113.12,107.55,111.7,-17.010002,-13.071545,36.0,96,0.937500625,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00325000,2025-11-07 20:43:16+00:00,325.0,107.2,103.25,107.45,-14.980003,-12.260602,16.0,49,1.2094766088867184,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00330000,2025-11-07 20:25:17+00:00,330.0,103.2,98.2,101.8,-16.25,-13.604018,101.0,92,1.0498094384765626,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00335000,2025-11-07 19:59:25+00:00,335.0,101.49,93.35,96.85,-12.639999,-11.075089,10.0,62,1.0302782861328126,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00337500,2025-11-07 17:12:03+00:00,337.5,88.42,90.75,94.35,-16.580002,-15.790478,1.0,4,0.9882813671875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00340000,2025-11-07 20:33:28+00:00,340.0,92.24,88.4,91.85,-13.090004,-12.427611,27.0,70,0.9848634326171876,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00345000,2025-11-07 18:31:51+00:00,345.0,86.04,82.7,87.6,-15.239998,-15.047391,18.0,237,0.93945373046875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00347500,2025-11-07 19:42:46+00:00,347.5,89.65,80.25,84.45,-6.25,-6.517205,2.0,8,0.8193377441406249,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00350000,2025-11-07 20:36:08+00:00,350.0,81.68,77.75,82.65,-15.190002,-15.680811,93.0,246,0.8999033447265624,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00352500,2025-11-07 16:21:34+00:00,352.5,77.73,75.95,79.5,-11.709999,-13.092574,5.0,54,0.8793957373046875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00355000,2025-11-07 20:59:02+00:00,355.0,75.5,72.8,77.7,-16.599998,-18.023886,19.0,149,0.8588881298828125,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00357500,2025-11-07 20:11:43+00:00,357.5,71.25,70.35,75.3,-20.199997,-22.088572,9.0,11,0.848634326171875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00360000,2025-11-07 20:52:09+00:00,360.0,70.75,67.9,72.1,-11.540001,-14.023577,137.0,407,0.7465845654296875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00362500,2025-11-07 19:04:33+00:00,362.5,71.4,65.45,68.25,-16.5,-18.771332,6.0,7,0.870118486328125,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00365000,2025-11-07 20:47:24+00:00,365.0,67.89,63.9,67.2,-18.080002,-21.030594,84.0,199,0.8098163549804687,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00367500,2025-11-07 19:28:12+00:00,367.5,63.15,60.55,64.8,-22.299995,-26.097128,104.0,24,0.7128934960937501,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00370000,2025-11-07 20:45:32+00:00,370.0,63.0,59.4,62.35,-16.739998,-20.993225,586.0,405,0.8037129003906249,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00372500,2025-11-06 19:17:21+00:00,372.5,54.1,57.85,59.95,-23.300003,-30.103361,1.0,17,0.8413101806640625,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00375000,2025-11-07 20:33:58+00:00,375.0,56.22,54.55,57.5,-17.529999,-23.769491,145.0,769,0.7663597583007813,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00377500,2025-11-07 19:32:23+00:00,377.5,53.45,50.95,55.85,-16.8,-23.914589,239.0,75,0.7216824707031251,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00380000,2025-11-07 20:54:56+00:00,380.0,50.5,49.35,52.8,-19.629997,-27.990871,260.0,204,0.7143583251953125,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00382500,2025-11-07 20:54:40+00:00,382.5,48.85,46.85,51.2,-19.810005,-28.852324,95.0,41,0.734255587158203,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00385000,2025-11-07 20:54:47+00:00,385.0,46.3,46.15,48.15,-18.8,-28.878647,103.0,137,0.7630638928222657,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00387500,2025-11-07 20:36:14+00:00,387.5,45.65,43.9,45.8,-14.09,-23.585537,49.0,25,0.7482935327148439,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00390000,2025-11-07 20:59:17+00:00,390.0,41.75,41.6,42.05,-17.740002,-29.82014,1401.0,166,0.6704134521484376,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00392500,2025-11-07 20:08:52+00:00,392.5,45.0,39.4,41.35,-13.880001,-23.57337,32.0,55,0.7241238525390624,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00395000,2025-11-07 20:57:24+00:00,395.0,37.1,37.2,37.6,-20.25,-35.309505,103.0,215,0.6539341247558594,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00397500,2025-11-07 20:30:06+00:00,397.5,36.67,35.05,37.75,-20.27,-35.598877,49.0,29,0.7270535107421875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00400000,2025-11-07 20:59:27+00:00,400.0,33.1,32.95,33.3,-17.400002,-34.45545,8434.0,729,0.6389196264648438,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00402500,2025-11-07 20:54:40+00:00,402.5,31.55,30.9,31.3,-17.82,-36.094795,66.0,116,0.634891346435547,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00405000,2025-11-07 20:59:31+00:00,405.0,29.07,28.85,29.05,-19.57,-40.234375,372.0,157,0.6202430554199221,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00407500,2025-11-07 20:48:58+00:00,407.5,27.0,26.9,27.1,-20.11,-42.68733,2798.0,91,0.6151161535644531,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00410000,2025-11-07 20:59:17+00:00,410.0,25.19,25.05,25.2,-19.76,-43.959953,9125.0,352,0.6113320117187502,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00412500,2025-11-07 20:54:30+00:00,412.5,23.32,23.2,23.4,-19.529999,-45.577595,934.0,211,0.6068764898681642,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00415000,2025-11-07 20:58:52+00:00,415.0,21.9,21.45,21.65,-16.6,-43.116886,2621.0,387,0.6031533825683595,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00417500,2025-11-07 20:59:55+00:00,417.5,19.85,19.8,20.0,-19.300001,-49.297573,3364.0,137,0.6010782080078126,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00420000,2025-11-07 20:59:57+00:00,420.0,18.39,18.25,18.4,-16.010002,-46.540703,36746.0,1045,0.5991861370849609,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00422500,2025-11-07 20:59:59+00:00,422.5,16.87,16.75,16.9,-16.479998,-49.415287,5131.0,314,0.5974161352539062,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00425000,2025-11-07 20:59:58+00:00,425.0,15.42,15.35,15.5,-15.120001,-49.508842,12755.0,2156,0.5968057897949219,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00427500,2025-11-07 20:59:52+00:00,427.5,14.15,14.0,14.15,-15.0,-51.457977,10551.0,292,0.5950968225097657,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00430000,2025-11-07 20:59:59+00:00,430.0,12.87,12.8,12.9,-14.63,-53.2,44534.0,1689,0.5955850988769531,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00432500,2025-11-07 20:59:56+00:00,432.5,11.71,11.6,11.75,-14.19,-54.787643,14732.0,219,0.5948526843261719,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00435000,2025-11-07 20:59:57+00:00,435.0,10.64,10.55,10.65,-13.71,-56.3039,21267.0,850,0.5953409606933593,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00437500,2025-11-07 20:59:58+00:00,437.5,9.65,9.55,9.65,-13.25,-57.86026,9867.0,412,0.5958292370605469,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00440000,2025-11-07 20:59:59+00:00,440.0,8.7,8.65,8.75,-12.849999,-59.628773,32461.0,3153,0.5976602734375001,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00442500,2025-11-07 20:58:55+00:00,442.5,7.95,7.8,7.9,-12.05,-60.250004,13109.0,905,0.5986978607177735,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00445000,2025-11-07 20:59:59+00:00,445.0,7.12,7.05,7.15,-11.78,-62.32804,16370.0,2446,0.6014444152832032,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00447500,2025-11-07 20:59:59+00:00,447.5,6.4,6.35,6.4,-11.26,-63.75991,5940.0,1459,0.6022988989257814,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00450000,2025-11-07 20:59:58+00:00,450.0,5.75,5.7,5.8,-10.879999,-65.42393,29318.0,8647,0.6052285571289064,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00452500,2025-11-07 20:59:27+00:00,452.5,5.15,5.1,5.2,-10.200001,-66.44952,3713.0,2879,0.6066323516845704,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00455000,2025-11-07 20:59:51+00:00,455.0,4.65,4.6,4.7,-9.9,-68.04124,10466.0,8321,0.6107216662597659,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00457500,2025-11-07 20:59:07+00:00,457.5,4.18,4.15,4.2,-9.299999,-68.9911,2317.0,977,0.6136513244628907,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00460000,2025-11-07 20:59:57+00:00,460.0,3.75,3.7,3.8,-8.9,-70.35573,15248.0,6508,0.6169471899414063,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00462500,2025-11-07 20:59:55+00:00,462.5,3.35,3.3,3.4,-8.299999,-71.24464,3837.0,1385,0.6192665026855471,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00465000,2025-11-07 20:59:17+00:00,465.0,3.07,3.0,3.05,-7.83,-71.83486,12140.0,4120,0.624149266357422,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00467500,2025-11-07 20:59:57+00:00,467.5,2.72,2.69,2.73,-7.38,-73.069305,7939.0,1285,0.6274451318359376,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00470000,2025-11-07 20:59:57+00:00,470.0,2.45,2.42,2.45,-7.0200005,-74.12883,19837.0,7244,0.6315954809570312,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00472500,2025-11-07 20:59:12+00:00,472.5,2.2,2.17,2.2,-6.7200003,-75.33633,5380.0,1131,0.6353796228027344,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00475000,2025-11-07 20:59:40+00:00,475.0,1.97,1.95,1.98,-6.13,-75.67901,9801.0,3084,0.6397741101074219,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00477500,2025-11-07 20:59:40+00:00,477.5,1.76,1.75,1.78,-5.74,-76.53333,4871.0,654,0.6439244592285156,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00480000,2025-11-07 20:59:52+00:00,480.0,1.6,1.57,1.6,-5.4,-77.14286,9540.0,6468,0.6480748083496093,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00482500,2025-11-07 20:59:35+00:00,482.5,1.43,1.42,1.44,-5.17,-78.333336,1294.0,830,0.6530796411132813,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00485000,2025-11-07 20:58:47+00:00,485.0,1.28,1.27,1.3,-4.8199997,-79.01639,5419.0,2112,0.657229990234375,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00487500,2025-11-07 20:59:45+00:00,487.5,1.16,1.14,1.16,-4.5,-79.5053,2372.0,497,0.6608920629882813,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00490000,2025-11-07 20:59:57+00:00,490.0,1.05,1.03,1.06,-4.1800003,-79.92352,6107.0,3778,0.6667513793945314,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00492500,2025-11-07 20:59:22+00:00,492.5,0.94,0.93,0.96,-3.9299998,-80.69815,1295.0,876,0.6718782812500002,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00495000,2025-11-07 20:59:52+00:00,495.0,0.86,0.84,0.86,-3.6399999,-80.888885,7532.0,2843,0.6760286303710938,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00497500,2025-11-07 20:59:52+00:00,497.5,0.77,0.76,0.78,-3.44,-81.71021,5262.0,932,0.6811555322265627,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00500000,2025-11-07 20:59:57+00:00,500.0,0.71,0.7,0.71,-3.19,-81.79487,28542.0,21548,0.6875031250000001,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00502500,2025-11-07 20:59:12+00:00,502.5,0.65,0.63,0.65,-3.04,-82.38482,1307.0,816,0.6928741650390625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00505000,2025-11-07 20:59:32+00:00,505.0,0.57,0.56,0.59,-2.8200002,-83.185844,1960.0,1685,0.6967803759765626,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00507500,2025-11-07 20:51:33+00:00,507.5,0.57,0.51,0.53,-2.6000001,-82.01893,474.0,379,0.70117486328125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00510000,2025-11-07 20:59:32+00:00,510.0,0.47,0.47,0.49,-2.48,-84.067795,3687.0,2556,0.708010732421875,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00512500,2025-11-07 20:54:57+00:00,512.5,0.46,0.43,0.45,-2.49,-84.406784,669.0,474,0.7143583251953125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00515000,2025-11-07 20:59:13+00:00,515.0,0.39,0.39,0.4,-2.2199998,-85.057465,2863.0,3031,0.717776259765625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00517500,2025-11-07 20:49:30+00:00,517.5,0.4,0.36,0.38,-1.9900001,-83.2636,2294.0,2086,0.725588681640625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00520000,2025-11-07 20:59:57+00:00,520.0,0.33,0.33,0.35,-1.92,-85.33333,6774.0,4848,0.7314479980468749,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00522500,2025-11-07 20:59:38+00:00,522.5,0.32,0.3,0.32,-2.0600002,-86.55463,765.0,427,0.73633076171875,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00525000,2025-11-07 20:59:38+00:00,525.0,0.28,0.27,0.29,-1.6600001,-85.56701,7614.0,6517,0.7402369726562499,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00527500,2025-11-07 20:59:38+00:00,527.5,0.27,0.25,0.27,-1.6700001,-86.08247,345.0,330,0.747072841796875,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00530000,2025-11-07 20:59:38+00:00,530.0,0.25,0.23,0.25,-1.46,-85.38012,2392.0,2539,0.752932158203125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00532500,2025-11-07 20:57:57+00:00,532.5,0.23,0.21,0.23,-1.37,-85.625,278.0,293,0.7578149218750001,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00535000,2025-11-07 20:59:09+00:00,535.0,0.22,0.2,0.22,-1.27,-85.2349,932.0,1205,0.7675804492187501,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00537500,2025-11-07 20:54:23+00:00,537.5,0.2,0.18,0.2,-1.17,-85.40146,1093.0,922,0.770510107421875,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00540000,2025-11-07 20:59:34+00:00,540.0,0.17,0.17,0.19,-1.13,-86.92308,3843.0,3376,0.77929908203125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00542500,2025-11-07 20:57:04+00:00,542.5,0.17,0.16,0.17,-1.12,-86.82171,568.0,984,0.7832052929687501,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00545000,2025-11-07 20:58:55+00:00,545.0,0.15,0.14,0.16,-1.01,-87.06897,1094.0,1790,0.78711150390625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00547500,2025-11-07 20:59:04+00:00,547.5,0.14,0.13,0.15,-1.0500001,-88.2353,324.0,690,0.7929708203125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00550000,2025-11-07 20:59:27+00:00,550.0,0.14,0.13,0.14,-0.88,-86.27451,4627.0,3758,0.8027363476562499,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00552500,2025-11-07 20:48:06+00:00,552.5,0.12,0.12,0.14,-0.9,-88.2353,231.0,360,0.8125018749999999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00555000,2025-11-07 20:59:41+00:00,555.0,0.12,0.12,0.13,-0.79,-86.81319,835.0,1529,0.8203142968749999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00560000,2025-11-07 20:59:54+00:00,560.0,0.1,0.1,0.12,-0.71999997,-87.80488,1750.0,1389,0.8320329296874999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00565000,2025-11-07 20:59:18+00:00,565.0,0.1,0.09,0.1,-0.66999996,-87.012985,750.0,571,0.8437515624999999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00570000,2025-11-07 20:59:30+00:00,570.0,0.1,0.07,0.09,-0.52,-83.870964,718.0,1628,0.84961087890625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00575000,2025-11-07 20:57:29+00:00,575.0,0.07,0.07,0.08,-0.5,-87.7193,1487.0,2120,0.867188828125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00580000,2025-11-07 20:59:17+00:00,580.0,0.06,0.05,0.08,-0.43,-87.755104,479.0,826,0.87695435546875,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00585000,2025-11-07 20:37:02+00:00,585.0,0.08,0.05,0.07,-0.35000002,-81.395355,325.0,440,0.8906260937499999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00590000,2025-11-07 20:47:41+00:00,590.0,0.06,0.05,0.07,-0.32999998,-84.61539,546.0,878,0.914063359375,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00595000,2025-11-07 20:52:47+00:00,595.0,0.06,0.04,0.06,-0.29,-82.85715,426.0,690,0.9179695703125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00600000,2025-11-07 20:54:46+00:00,600.0,0.05,0.04,0.06,-0.26,-83.870964,2301.0,4269,0.937500625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00605000,2025-11-07 20:55:55+00:00,605.0,0.06,0.04,0.06,-0.22999999,-79.31035,93.0,382,0.9609378906249999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00610000,2025-11-07 20:58:50+00:00,610.0,0.04,0.04,0.05,-0.21000001,-84.0,1871.0,660,0.9687503125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00615000,2025-11-07 20:59:04+00:00,615.0,0.03,0.03,0.05,-0.19,-86.36364,178.0,396,0.9804689453125001,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00620000,2025-11-07 20:46:51+00:00,620.0,0.05,0.03,0.05,-0.14,-73.68421,2377.0,1068,0.99804689453125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00625000,2025-11-07 20:59:12+00:00,625.0,0.05,0.04,0.05,-0.13000001,-72.22223,2378.0,145,1.0312548437500002,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00630000,2025-11-07 19:52:41+00:00,630.0,0.04,0.02,0.04,-0.12,-75.0,342.0,879,1.0078174609375,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00640000,2025-11-07 20:57:22+00:00,640.0,0.04,0.02,0.04,-0.08,-66.66667,101.0,900,1.0468797656250002,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00650000,2025-11-07 20:58:24+00:00,650.0,0.03,0.02,0.04,-0.08,-72.72727,495.0,1059,1.0859420703125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00660000,2025-11-07 20:52:51+00:00,660.0,0.03,0.02,0.04,-0.049999997,-62.5,1422.0,11205,1.1171919140625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00670000,2025-11-07 20:40:19+00:00,670.0,0.02,0.01,0.03,-0.06,-75.0,8.0,987,1.1171919140625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00680000,2025-11-07 17:21:22+00:00,680.0,0.02,0.02,0.03,-0.030000001,-60.000004,31.0,349,1.171879140625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00690000,2025-11-07 20:47:54+00:00,690.0,0.02,0.01,0.03,-0.030000001,-60.000004,10965.0,168,1.1796916015624999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00700000,2025-11-07 20:56:16+00:00,700.0,0.02,0.01,0.03,-0.01,-33.333336,11673.0,1470,1.21875390625,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00710000,2025-11-07 20:58:39+00:00,710.0,0.02,0.01,0.03,-0.030000001,-60.000004,996.0,126,1.2500037499999999,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00720000,2025-11-07 20:58:39+00:00,720.0,0.02,0.01,0.03,0.0,0.0,39.0,1186,1.2812535937499998,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00730000,2025-11-07 15:08:41+00:00,730.0,0.02,0.01,0.03,0.01,100.0,34.0,323,1.3125034374999998,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00740000,2025-11-07 18:02:17+00:00,740.0,0.01,0.0,0.03,-0.02,-66.66667,74.0,164,1.3125034374999998,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00750000,2025-11-07 16:37:20+00:00,750.0,0.01,0.0,0.02,-0.01,-50.0,6.0,104,1.2968785156249998,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00760000,2025-11-07 15:01:36+00:00,760.0,0.01,0.0,0.02,0.0,0.0,1.0,718,1.3281283593749997,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00770000,2025-11-07 18:38:53+00:00,770.0,0.02,0.0,0.02,0.0,0.0,120.0,86,1.359378203125,False,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00780000,2025-11-07 14:57:23+00:00,780.0,0.01,0.0,0.02,0.0,0.0,1.0,65,1.3750031249999999,False,REGULAR,USD,call,TSLA,2025-11-14
